loginid,ファイル名,総支給額,支給１,支給２,支給３,支給４,支給５,支給６,支給７,支給８,支給９,支給１０,支給１１,支給１２,支給１３,支給１４,支給１５,支給１６,支給１７,支給１８,支給１９,総支給額,控除１,控除２,控除３,控除４,控除５,控除６,控除７,控除８,控除９,控除１０,控除１１,控除１２,控除１３,控除１４,控除１５,控除１６,控除１７,控除１８,控除１９,総控除額,勤怠１,勤怠２,勤怠３,勤怠４,勤怠５,勤怠６,勤怠７,勤怠８,勤怠９,勤怠１０,勤怠１１,勤怠１２,勤怠１３,勤怠１４,勤怠１５,勤怠１６,勤怠１７,勤怠１８,勤怠１９,備考
nakajima.jun@example.org,,98999927,7999929,7999930,7999931,7999932,7999933,7999934,7999935,7999936,7999937,7999938,7999939,7999940,7999941,7999942,7999943,7999944,7999945,7999946,7999947,8998948,6999949,6999950,6999951,6999952,6999953,6999954,6999955,6999956,6999957,6999958,6999959,6999960,6999961,6999962,6999963,6999964,6999965,6999966,6999967,7887968,-40.75,-39.75,-38.75,-37.75,-36.75,-35.75,-34.75,-33.75,-32.75,-31.75,-30.75,-29.75,-28.75,-27.75,-26.75,-25.75,-24.75,-23.75,-22.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
yui73@example.org,,98999914,7999916,7999917,7999918,7999919,7999920,7999921,7999922,7999923,7999924,7999925,7999926,7999927,7999928,7999929,7999930,7999931,7999932,7999933,7999934,8998935,6999936,6999937,6999938,6999939,6999940,6999941,6999942,6999943,6999944,6999945,6999946,6999947,6999948,6999949,6999950,6999951,6999952,6999953,6999954,7887955,-53.75,-52.75,-51.75,-50.75,-49.75,-48.75,-47.75,-46.75,-45.75,-44.75,-43.75,-42.75,-41.75,-40.75,-39.75,-38.75,-37.75,-36.75,-35.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
osamu13@example.org,,98999900,7999902,7999903,7999904,7999905,7999906,7999907,7999908,7999909,7999910,7999911,7999912,7999913,7999914,7999915,7999916,7999917,7999918,7999919,7999920,8998921,6999922,6999923,6999924,6999925,6999926,6999927,6999928,6999929,6999930,6999931,6999932,6999933,6999934,6999935,6999936,6999937,6999938,6999939,6999940,7887941,-67.75,-66.75,-65.75,-64.75,-63.75,-62.75,-61.75,-60.75,-59.75,-58.75,-57.75,-56.75,-55.75,-54.75,-53.75,-52.75,-51.75,-50.75,-49.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
sayuri.nakamura@example.org,,98999885,7999887,7999888,7999889,7999890,7999891,7999892,7999893,7999894,7999895,7999896,7999897,7999898,7999899,7999900,7999901,7999902,7999903,7999904,7999905,8998906,6999907,6999908,6999909,6999910,6999911,6999912,6999913,6999914,6999915,6999916,6999917,6999918,6999919,6999920,6999921,6999922,6999923,6999924,6999925,7887926,-82.75,-81.75,-80.75,-79.75,-78.75,-77.75,-76.75,-75.75,-74.75,-73.75,-72.75,-71.75,-70.75,-69.75,-68.75,-67.75,-66.75,-65.75,-64.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
yosuke00@example.net,,98999869,7999871,7999872,7999873,7999874,7999875,7999876,7999877,7999878,7999879,7999880,7999881,7999882,7999883,7999884,7999885,7999886,7999887,7999888,7999889,8998890,6999891,6999892,6999893,6999894,6999895,6999896,6999897,6999898,6999899,6999900,6999901,6999902,6999903,6999904,6999905,6999906,6999907,6999908,6999909,7887910,-98.75,-97.75,-96.75,-95.75,-94.75,-93.75,-92.75,-91.75,-90.75,-89.75,-88.75,-87.75,-86.75,-85.75,-84.75,-83.75,-82.75,-81.75,-80.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
sayuri.ogaki@example.com,,98999852,7999854,7999855,7999856,7999857,7999858,7999859,7999860,7999861,7999862,7999863,7999864,7999865,7999866,7999867,7999868,7999869,7999870,7999871,7999872,8998873,6999874,6999875,6999876,6999877,6999878,6999879,6999880,6999881,6999882,6999883,6999884,6999885,6999886,6999887,6999888,6999889,6999890,6999891,6999892,7887893,-115.75,-114.75,-113.75,-112.75,-111.75,-110.75,-109.75,-108.75,-107.75,-106.75,-105.75,-104.75,-103.75,-102.75,-101.75,-100.75,-99.75,-98.75,-97.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
tomoya91@example.com,,98999834,7999836,7999837,7999838,7999839,7999840,7999841,7999842,7999843,7999844,7999845,7999846,7999847,7999848,7999849,7999850,7999851,7999852,7999853,7999854,8998855,6999856,6999857,6999858,6999859,6999860,6999861,6999862,6999863,6999864,6999865,6999866,6999867,6999868,6999869,6999870,6999871,6999872,6999873,6999874,7887875,-133.75,-132.75,-131.75,-130.75,-129.75,-128.75,-127.75,-126.75,-125.75,-124.75,-123.75,-122.75,-121.75,-120.75,-119.75,-118.75,-117.75,-116.75,-115.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
ryohei.yamaguchi@example.com,,98999815,7999817,7999818,7999819,7999820,7999821,7999822,7999823,7999824,7999825,7999826,7999827,7999828,7999829,7999830,7999831,7999832,7999833,7999834,7999835,8998836,6999837,6999838,6999839,6999840,6999841,6999842,6999843,6999844,6999845,6999846,6999847,6999848,6999849,6999850,6999851,6999852,6999853,6999854,6999855,7887856,-152.75,-151.75,-150.75,-149.75,-148.75,-147.75,-146.75,-145.75,-144.75,-143.75,-142.75,-141.75,-140.75,-139.75,-138.75,-137.75,-136.75,-135.75,-134.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
rnakamura@example.com,,98999795,7999797,7999798,7999799,7999800,7999801,7999802,7999803,7999804,7999805,7999806,7999807,7999808,7999809,7999810,7999811,7999812,7999813,7999814,7999815,8998816,6999817,6999818,6999819,6999820,6999821,6999822,6999823,6999824,6999825,6999826,6999827,6999828,6999829,6999830,6999831,6999832,6999833,6999834,6999835,7887836,-172.75,-171.75,-170.75,-169.75,-168.75,-167.75,-166.75,-165.75,-164.75,-163.75,-162.75,-161.75,-160.75,-159.75,-158.75,-157.75,-156.75,-155.75,-154.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
rika44@example.com,,98999774,7999776,7999777,7999778,7999779,7999780,7999781,7999782,7999783,7999784,7999785,7999786,7999787,7999788,7999789,7999790,7999791,7999792,7999793,7999794,8998795,6999796,6999797,6999798,6999799,6999800,6999801,6999802,6999803,6999804,6999805,6999806,6999807,6999808,6999809,6999810,6999811,6999812,6999813,6999814,7887815,-193.75,-192.75,-191.75,-190.75,-189.75,-188.75,-187.75,-186.75,-185.75,-184.75,-183.75,-182.75,-181.75,-180.75,-179.75,-178.75,-177.75,-176.75,-175.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
maaya.saito@example.net,,98999752,7999754,7999755,7999756,7999757,7999758,7999759,7999760,7999761,7999762,7999763,7999764,7999765,7999766,7999767,7999768,7999769,7999770,7999771,7999772,8998773,6999774,6999775,6999776,6999777,6999778,6999779,6999780,6999781,6999782,6999783,6999784,6999785,6999786,6999787,6999788,6999789,6999790,6999791,6999792,7887793,-215.75,-214.75,-213.75,-212.75,-211.75,-210.75,-209.75,-208.75,-207.75,-206.75,-205.75,-204.75,-203.75,-202.75,-201.75,-200.75,-199.75,-198.75,-197.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
suzuki.kaori@example.org,,98999729,7999731,7999732,7999733,7999734,7999735,7999736,7999737,7999738,7999739,7999740,7999741,7999742,7999743,7999744,7999745,7999746,7999747,7999748,7999749,8998750,6999751,6999752,6999753,6999754,6999755,6999756,6999757,6999758,6999759,6999760,6999761,6999762,6999763,6999764,6999765,6999766,6999767,6999768,6999769,7887770,-238.75,-237.75,-236.75,-235.75,-234.75,-233.75,-232.75,-231.75,-230.75,-229.75,-228.75,-227.75,-226.75,-225.75,-224.75,-223.75,-222.75,-221.75,-220.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
kobayashi.minoru@example.net,,98999705,7999707,7999708,7999709,7999710,7999711,7999712,7999713,7999714,7999715,7999716,7999717,7999718,7999719,7999720,7999721,7999722,7999723,7999724,7999725,8998726,6999727,6999728,6999729,6999730,6999731,6999732,6999733,6999734,6999735,6999736,6999737,6999738,6999739,6999740,6999741,6999742,6999743,6999744,6999745,7887746,-262.75,-261.75,-260.75,-259.75,-258.75,-257.75,-256.75,-255.75,-254.75,-253.75,-252.75,-251.75,-250.75,-249.75,-248.75,-247.75,-246.75,-245.75,-244.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
naoto.sato@example.net,,98999680,7999682,7999683,7999684,7999685,7999686,7999687,7999688,7999689,7999690,7999691,7999692,7999693,7999694,7999695,7999696,7999697,7999698,7999699,7999700,8998701,6999702,6999703,6999704,6999705,6999706,6999707,6999708,6999709,6999710,6999711,6999712,6999713,6999714,6999715,6999716,6999717,6999718,6999719,6999720,7887721,-287.75,-286.75,-285.75,-284.75,-283.75,-282.75,-281.75,-280.75,-279.75,-278.75,-277.75,-276.75,-275.75,-274.75,-273.75,-272.75,-271.75,-270.75,-269.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
yuki12@example.com,,98999654,7999656,7999657,7999658,7999659,7999660,7999661,7999662,7999663,7999664,7999665,7999666,7999667,7999668,7999669,7999670,7999671,7999672,7999673,7999674,8998675,6999676,6999677,6999678,6999679,6999680,6999681,6999682,6999683,6999684,6999685,6999686,6999687,6999688,6999689,6999690,6999691,6999692,6999693,6999694,7887695,-313.75,-312.75,-311.75,-310.75,-309.75,-308.75,-307.75,-306.75,-305.75,-304.75,-303.75,-302.75,-301.75,-300.75,-299.75,-298.75,-297.75,-296.75,-295.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
tanaka.mitsuru@example.org,,98999627,7999629,7999630,7999631,7999632,7999633,7999634,7999635,7999636,7999637,7999638,7999639,7999640,7999641,7999642,7999643,7999644,7999645,7999646,7999647,8998648,6999649,6999650,6999651,6999652,6999653,6999654,6999655,6999656,6999657,6999658,6999659,6999660,6999661,6999662,6999663,6999664,6999665,6999666,6999667,7887668,-340.75,-339.75,-338.75,-337.75,-336.75,-335.75,-334.75,-333.75,-332.75,-331.75,-330.75,-329.75,-328.75,-327.75,-326.75,-325.75,-324.75,-323.75,-322.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
mitsuru95@example.org,,98999599,7999601,7999602,7999603,7999604,7999605,7999606,7999607,7999608,7999609,7999610,7999611,7999612,7999613,7999614,7999615,7999616,7999617,7999618,7999619,8998620,6999621,6999622,6999623,6999624,6999625,6999626,6999627,6999628,6999629,6999630,6999631,6999632,6999633,6999634,6999635,6999636,6999637,6999638,6999639,7887640,-368.75,-367.75,-366.75,-365.75,-364.75,-363.75,-362.75,-361.75,-360.75,-359.75,-358.75,-357.75,-356.75,-355.75,-354.75,-353.75,-352.75,-351.75,-350.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
rei99@example.org,,98999570,7999572,7999573,7999574,7999575,7999576,7999577,7999578,7999579,7999580,7999581,7999582,7999583,7999584,7999585,7999586,7999587,7999588,7999589,7999590,8998591,6999592,6999593,6999594,6999595,6999596,6999597,6999598,6999599,6999600,6999601,6999602,6999603,6999604,6999605,6999606,6999607,6999608,6999609,6999610,7887611,-397.75,-396.75,-395.75,-394.75,-393.75,-392.75,-391.75,-390.75,-389.75,-388.75,-387.75,-386.75,-385.75,-384.75,-383.75,-382.75,-381.75,-380.75,-379.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
yamada.takuma@example.net,,98999540,7999542,7999543,7999544,7999545,7999546,7999547,7999548,7999549,7999550,7999551,7999552,7999553,7999554,7999555,7999556,7999557,7999558,7999559,7999560,8998561,6999562,6999563,6999564,6999565,6999566,6999567,6999568,6999569,6999570,6999571,6999572,6999573,6999574,6999575,6999576,6999577,6999578,6999579,6999580,7887581,-427.75,-426.75,-425.75,-424.75,-423.75,-422.75,-421.75,-420.75,-419.75,-418.75,-417.75,-416.75,-415.75,-414.75,-413.75,-412.75,-411.75,-410.75,-409.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
kyosuke.tanaka@example.org,,98999509,7999511,7999512,7999513,7999514,7999515,7999516,7999517,7999518,7999519,7999520,7999521,7999522,7999523,7999524,7999525,7999526,7999527,7999528,7999529,8998530,6999531,6999532,6999533,6999534,6999535,6999536,6999537,6999538,6999539,6999540,6999541,6999542,6999543,6999544,6999545,6999546,6999547,6999548,6999549,7887550,-458.75,-457.75,-456.75,-455.75,-454.75,-453.75,-452.75,-451.75,-450.75,-449.75,-448.75,-447.75,-446.75,-445.75,-444.75,-443.75,-442.75,-441.75,-440.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
naoki.ekoda@example.org,,98999477,7999479,7999480,7999481,7999482,7999483,7999484,7999485,7999486,7999487,7999488,7999489,7999490,7999491,7999492,7999493,7999494,7999495,7999496,7999497,8998498,6999499,6999500,6999501,6999502,6999503,6999504,6999505,6999506,6999507,6999508,6999509,6999510,6999511,6999512,6999513,6999514,6999515,6999516,6999517,7887518,-490.75,-489.75,-488.75,-487.75,-486.75,-485.75,-484.75,-483.75,-482.75,-481.75,-480.75,-479.75,-478.75,-477.75,-476.75,-475.75,-474.75,-473.75,-472.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
yuki.aoyama@example.org,,98999444,7999446,7999447,7999448,7999449,7999450,7999451,7999452,7999453,7999454,7999455,7999456,7999457,7999458,7999459,7999460,7999461,7999462,7999463,7999464,8998465,6999466,6999467,6999468,6999469,6999470,6999471,6999472,6999473,6999474,6999475,6999476,6999477,6999478,6999479,6999480,6999481,6999482,6999483,6999484,7887485,-523.75,-522.75,-521.75,-520.75,-519.75,-518.75,-517.75,-516.75,-515.75,-514.75,-513.75,-512.75,-511.75,-510.75,-509.75,-508.75,-507.75,-506.75,-505.75,"むかしむかし、あるところに、おじいさんとおばあさんが住んでいました。
　おじいさんは山へ柴刈りに、おばあさんは川へ洗濯に行きました。
　おばあさんが川で洗濯をしていると、ドンブラコ、ドンブラコと、大きな桃が流れてきました。"
